,tweet_id,retweet_count,favorite_count
89,667530908589760512,242,469
90,667534815156183040,545,821
91,667538891197542400,65,204
92,667544320556335104,531,867
93,667546741521195008,126,334
94,667549055577362432,2310,5817
95,667550882905632768,33,0
96,667550904950915072,35,0
97,667724302356258816,323,482
98,667728196545200128,152,378
99,667766675769573376,220,442
100,667773195014021120,57,236
101,667782464991965184,246,408
102,667793409583771648,335,700
103,667801013445750784,97,328
104,667806454573760512,502,1059
105,667832474953625600,63,291
106,667861340749471744,78,244
107,667866724293877760,1047,3013
108,667873844930215936,414,629
109,667878741721415680,122,395
110,667885044254572544,496,823
111,667886921285246976,1111,1896
112,667902449697558528,381,856
113,667911425562669056,308,495
114,667915453470232576,57,210
115,667924896115245056,113,303
116,667937095915278336,802,1273
117,668113020489474048,247,671
118,668142349051129856,289,571
119,668154635664932864,322,501
120,668171859951755264,199,497
121,668190681446379520,199,659
122,668204964695683072,198,555
123,668221241640230912,200,513
124,668226093875376128,105,301
125,668237644992782336,2900,6262
126,668248472370458624,499,1002
127,668256321989451776,629,1315
128,668268907921326080,243,559
129,668274247790391296,235,831
130,668286279830867968,140,507
131,668291999406125056,32,248
132,668297328638447616,302,625
133,668466899341221888,526,891
134,668480044826800128,152,464
135,668484198282485760,240,433
136,668496999348633600,135,417
137,668507509523615744,110,329
138,668528771708952576,232,465
139,668537837512433664,77,255
140,668542336805281792,220,465
141,668544745690562560,232,520
142,668567822092664832,57,246
143,668587383441514496,1097,1687
144,668614819948453888,321,619
145,668620235289837568,43,205
146,668623201287675904,788,1441
147,668625577880875008,138,392
148,668627278264475648,118,321
149,668631377374486528,325,725
150,668633411083464704,1682,2836
151,668636665813057536,498,1052
152,668641109086707712,549,1087
153,668643542311546880,541,890
154,668645506898350080,542,899
155,668655139528511488,222,540
156,668779399630725120,378,710
157,668815180734689280,278,579
158,668826086256599040,141,439
159,668852170888998912,171,458
160,668872652652679168,307,534
161,668892474547511296,154,397
162,668902994700836864,102,320
163,668932921458302976,59,269
164,668955713004314624,73,283
165,668960084974809088,244,710
166,668967877119254528,25,147
167,668975677807423488,593,1314
168,668979806671884288,355,803
169,668981893510119424,316,544
170,668986018524233728,172,561
171,668988183816871936,481,904
172,668989615043424256,335,687
173,668992363537309696,355,749
174,668994913074286592,236,445
175,669000397445533696,6490,21095
176,669006782128353280,256,585
177,669015743032369152,381,748
178,669037058363662336,320,661
179,669203728096960512,489,1014
180,669214165781868544,170,444
181,669216679721873408,412,1203
182,669324657376567296,213,503
183,669327207240699904,119,582
184,669328503091937280,424,1025
185,669351434509529088,192,442
186,669353438988365824,266,651
187,669354382627049472,1296,2737
188,669359674819481600,127,372
189,669363888236994560,233,629
190,669367896104181760,161,471
191,669371483794317312,184,502
192,669375718304980992,747,1348
193,669393256313184256,78,371
194,669564461267722240,127,390
195,669567591774625792,56,238
196,669571471778410496,1039,1606
197,669573570759163904,143,441
198,669583744538451968,942,1506
199,669597912108789760,152,517
200,669603084620980224,368,954
201,669625907762618368,1849,3563
202,669661792646373376,449,810
203,669680153564442624,295,675
204,669682095984410624,136,354
205,669683899023405056,112,391
206,669684865554620416,91,525
207,669749430875258880,66,270
208,669753178989142016,409,824
209,669923323644657664,58,237
210,669926384437997568,106,379
211,669942763794931712,168,511
212,669970042633789440,62,306
213,669972011175813120,165,450
214,669993076832759808,86,328
215,670003130994700288,95,336
216,670037189829525504,285,593
217,670040295598354432,115,764
218,670046952931721216,181,651
219,670055038660800512,338,678
220,670061506722140160,349,775
221,670069087419133952,248,635
222,670073503555706880,807,1589
223,670079681849372672,1266,2243
224,670086499208155136,259,705
225,670093938074779648,342,1038
226,670290420111441920,293,712
227,670303360680108032,139,432
228,670319130621435904,1245,3899
229,670338931251150848,113,427
230,670361874861563904,69,330
231,670374371102445568,275,753
232,670385711116361728,217,566
233,670403879788544000,161,438
234,670408998013820928,229,561
235,670411370698022912,919,2042
236,670417414769758208,324,575
237,670420569653809152,322,633
238,670421925039075328,646,1323
239,670427002554466304,167,525
240,670428280563085312,641,1398
241,670433248821026816,114,331
242,670434127938719744,660,1417
243,670435821946826752,527,1065
244,670442337873600512,202,647
245,670444955656130560,2025,6793
246,670449342516494336,680,1204
247,670452855871037440,212,554
248,670465786746662912,564,979
249,670468609693655040,86,354
250,670474236058800128,776,1537
251,670668383499735040,5145,10818
252,670676092097810432,44,251
253,670679630144274432,290,757
254,670691627984359424,249,596
255,670704688707301376,379,774
256,670717338665226240,505,1220
257,670727704916926464,367,834
258,670733412878163968,524,975
259,670755717859713024,114,446
260,670764103623966720,432,1084
261,670778058496974848,74,330
262,670780561024270336,296,793
263,670782429121134592,788,1583
264,670783437142401024,404,829
265,670786190031921152,205,608
266,670789397210615808,246,669
267,670792680469889024,285,837
268,670797304698376192,242,743
269,670803562457407488,88,346
270,670804601705242624,979,1989
271,670807719151067136,500,1170
272,670811965569282048,275,1142
273,670815497391357952,1572,3203
